player_num,position,player_name,club,age,height,weight,birthplace,status
11,F,David Accam,Chicago Fire,24,5' 9'',154,Ghana,Active
23,D/M,Kellyn Acosta,FC Dallas,19,5' 10'',150,USA,Active
NA,D,Adaílton,Chicago Fire,31,6' 3'',180,Brazil,Active
3,D,Sam Adekugbe,Vancouver Whitecaps FC,19,5' 9'',165,England,Active
9,F,Fanendo Adi,Portland Timbers,24,6' 4'',185,Nigeria,Active
13,F,Tesho Akindele,FC Dallas,22,6' 1'',170,Canada,Active
NA,M,Fatai Alashe,,21,6',170,USA,Active
12,M,Eric Alexander,New York Red Bulls,26,6' 1'',165,USA,Active
7,D/M,Jordan Allen,Real Salt Lake,19,5' 11'',160,USA,Active
6,M,Osvaldo Alonso,Seattle Sounders FC,29,5' 11'',165,Cuba,Active
30,D,Kevin Alston,New England Revolution,26,5' 8'',160,USA,Active
24,F,Quincy Amarikwa,Chicago Fire,27,5' 9'',180,USA,Active
NA,D,Jalil Anibaba,Sporting Kansas City,26,6',185,USA,Active
NA,M,Bernardo Añor,Sporting Kansas City,26,5' 8'',158,Venezuela,Active
34,M,Manny Aparicio,Toronto FC,19,5' 6'',149,Argentina,Active
5,D,Armando,New York Red Bulls,30,6' 1'',175,Spain,Active
8,M,Davy Arnaud,D.C. United,34,5' 11'',160,USA,Active
NA,F,Jairo Arrieta,Orlando City SC,31,5' 9'',150,Costa Rica,Active
26,M,Corey Ashe,Houston Dynamo,28,5' 5'',154,USA,Active
NA,M/F,Dairon Asprilla,Portland Timbers,22,5' 11'',165,Colombia,Active
24,GK,Jeff Attinella,Real Salt Lake,26,6' 2'',190,USA,Active
42,M,Micheal Azira,Seattle Sounders FC,27,5' 10'',160,Uganda,Active
NA,M,Mehdi Ballouchy,New York City FC,31,5' 11'',169,Morocco,Active
26,D,Brandon Barklage,San Jose Earthquakes,28,5' 11'',165,USA,Active
25,D,Darrius Barnes,New England Revolution,28,6' 1'',175,USA,Active
23,M,Giles Barnes,Houston Dynamo,26,5' 11'',181,England,Active
NA,M,Leandro Barrera,San Jose Earthquakes,23,5' 8'',171,Argentina,Active
19,F,Chad Barrett,Seattle Sounders FC,29,5' 11'',185,USA,Active
21,D,Chad Barson,Columbus Crew SC,23,5' 10'',170,USA,Active
21,D/M,DaMarcus Beasley,Houston Dynamo,32,5' 8'',145,USA,Active
5,M,Kyle Beckerman,Real Salt Lake,32,5' 11'',165,USA,Active
29,F,Adam Bedell,Columbus Crew SC,23,6' 6'',204,USA,Active
33,D/M,Steven Beitashour,Vancouver Whitecaps FC,27,5' 10'',170,USA,Active
8,M,Kyle Bekker,Toronto FC,24,5' 9'',165,Canada,Active
27,M,Louis Béland-Goyette,Montreal Impact,19,5' 8'',140,Canada,Active
2,D,Tony Beltran,Real Salt Lake,27,5' 8'',150,USA,Active
12,GK,Joe Bendik,Toronto FC,25,6' 2'',217,USA,Active
5,D,Víctor Bernárdez,San Jose Earthquakes,32,6' 2'',190,Honduras,Active
12,GK,John Berner,Colorado Rapids,23,6' 3'',205,USA,Active
8,M,Patrice Bernier,Montreal Impact,35,5' 9'',170,Canada,Active
4,D,Austin Berry,Philadelphia Union,26,6' 2'',188,USA,Active
5,D,Matt Besler,Sporting Kansas City,27,6',170,USA,Active
NA,M,Nick Besler,,21,6' 1'',165,USA,Active
16,F,Claudio Bieler,Sporting Kansas City,30,5' 11'',171,Argentina,Active
15,D,Steve Birnbaum,D.C. United,23,6' 2'',180,USA,Active
1,GK,Andre Blake,Philadelphia Union,24,6' 4'',175,Jamaica,Active
28,D,Mark Bloom,Toronto FC,27,5' 11'',162,USA,Active
NA,D,Nat Borchers,Portland Timbers,33,6' 2'',175,USA,Active
32,D,Bobby Boswell,D.C. United,31,6' 2'',185,USA,Active
21,M,Rubén Bover,New York Red Bulls,22,5' 7'',144,Spain,Active
NA,F,Tristan Bowen,New England Revolution,23,5' 11'',170,USA,Active
4,M,Michael Bradley,Toronto FC,27,6' 2'',179,USA,Active
NA,D,Jeb Brovsky,New York City FC,26,6' 1'',170,USA,Active
26,F,Deshorn Brown,Colorado Rapids,24,6' 2'',170,Jamaica,Active
12,F,Will Bruin,Houston Dynamo,25,6' 2'',194,USA,Active
10,F,Teal Bunbury,New England Revolution,24,6' 2'',175,Canada,Active
4,D,Marc Burch,Colorado Rapids,30,6' 1'',180,USA,Active
NA,D,Bobby Burling,Colorado Rapids,30,6' 5'',195,USA,Active
30,G,Evan Bush,Montreal Impact,28,6' 1'',186,USA,Active
23,M,Michael Bustamante,New York Red Bulls,25,5' 9'',160,Colombia,Active
NA,D,Victor Cabrera,Montreal Impact,21,6',165,Argentina,Active
17,M,Tim Cahill,New York Red Bulls,35,5' 10'',150,Australia,Active
6,M,Scott Caldwell,New England Revolution,23,5' 8'',150,USA,Active
13,D,Steven Caldwell,Toronto FC,34,6' 2'',195,Scotland,Active
NA,F,Caleb Calvert,Colorado Rapids,18,6' 2'',160,USA,Active
6,D,Hassoun Camara,Montreal Impact,28,6' 2'',190,France,Active
44,GK,Marco Carducci,Vancouver Whitecaps FC,18,6' 1'',185,Canada,Active
7,M,Brian Carroll,Philadelphia Union,33,5' 10'',155,USA,Active
NA,M,Tony Cascio,Orlando City SC,24,6',170,USA,Active
24,GK,Santiago Castaño,New York Red Bulls,19,6' 2'',184,USA,Active
11,F,Fabián Castillo,FC Dallas,22,5' 8'',150,Colombia,Active
7,M,Cordell Cato,San Jose Earthquakes,22,5' 9'',150,Trinidad and Tobago,Active
17,M,Darwin Cerén,Orlando City SC,25,5' 7'',165,El Salvador,Active
21,M,Diego Chara,Portland Timbers,28,5' 8'',150,Colombia,Active
6,M,Ian Christianson,New York Red Bulls,23,5' 11'',155,United States,Active
13,M,Ricardo Clark,Houston Dynamo,31,5' 10'',160,USA,Active
1,GK,Steve Clark,Columbus Crew SC,28,6' 2'',192,USA,Active
34,F,Caleb Clarke,Vancouver Whitecaps FC,21,6' 1'',165,Canada,Active
20,M,Jorge Claros,Sporting Kansas City,29,5' 9'',155,Honduras,Active
16,D,A.J. Cochran,Houston Dynamo,21,6' 3'',195,USA,Active
16,D,Greg Cochrane,Chicago Fire,24,5' 8'',140,USA,Active
30,M,Razvan Cocis,Chicago Fire,31,5' 11'',161,Romania,Active
NA,D,Aurélien Collin,Orlando City SC,28,6' 2'',169,France,Active
NA,D,Gustavo Silva Conceicao,Orlando City SC,28,6' 1'',198,Brazil,Active
33,F,Kenny Cooper,Seattle Sounders FC,30,6' 3'',210,USA,Active
NA,F,Coy Craft,FC Dallas,17,6' 2'',175,USA,Active
3,D,Warren Creavalle,Toronto FC,24,5' 11'',170,USA,Active
40,GK,Maxime Crépeau,Montreal Impact,20,5' 11'',199,Canada,Active
4,M,Sam Cronin,San Jose Earthquakes,28,5' 10'',165,USA,Active
44,D/M,Danny Cruz,Philadelphia Union,25,5' 8'',170,USA,Active
9,F,Charlie Davies,New England Revolution,28,5' 10'',175,USA,Active
11,M,Brad Davis,Houston Dynamo,33,5' 11'',170,USA,Active
NA,M,Sean Davis,New York Red Bulls,21,6',165,Active,
22,D,Christian Dean,Vancouver Whitecaps FC,21,6' 3'',198,USA,Active
18,F,Jermain Defoe,Toronto FC,32,5' 7'',143,England,Active
20,D,A.J. DeLaGarza,LA Galaxy,27,5' 9'',150,USA,Active
14,M,Nick DeLeon,D.C. United,24,5' 10'',170,USA,Active
NA,M,Marco Delgado,Toronto FC,19,5' 9'',146,USA,Active
12,M,Edder Delgado,Honduras,28,5' 9'',NA,Honduras,Active
2,F,Clint Dempsey,Seattle Sounders FC,31,6' 1'',170,USA,Active
24,GK,Tyler Deric,Houston Dynamo,26,6' 3'',185,USA,Active
10,M,Mauro Díaz,FC Dallas,23,5' 7'',137,Argentina,Active
7,F,Bright Dike,Toronto FC,27,6',213,United States,Active
10,M,Yannick Djalo,San Jose Earthquakes,28,5' 6'',140,Guinea-Bissau,Active
NA,F,Guilherme do Prado,Chicago Fire,33,6' 3'',180,Brazil,Active
33,M,Marco Donadel,Montreal Impact,31,5' 10'',160,Italy,Active
NA,D,Patrick Doody,Chicago Fire,22,6',180,United States,Active
12,M,Andy Dorman,New England Revolution,32,6' 1'',160,England,Active
30,F,Conor Doyle,D.C. United,23,6' 2'',172,USA,Active
NA,M,Andrew Driver,D.C. United,27,5' 9'',152,England,Active
11,M,Dilly Duka,Montreal Impact,25,5' 9'',160,USA,Active
2,D,Todd Dunivant,LA Galaxy,34,6' 1'',175,USA,Active
NA,M,Matt Dunn,New York City FC,20,5' 10'',163,USA,Active
25,D,Chris Duvall,New York Red Bulls,23,5' 10'',150,USA,Active
14,F,Dom Dwyer,Sporting Kansas City,24,5' 9'',180,England,Active
50,GK,Andrew Dykstra,D.C. United,29,6' 4'',195,USA,Active
NA,D,Otis Earle,,22,6',170,England,Active
21,M,Maurice Edu,Philadelphia Union,28,6',170,USA,Active
4,D,Kevin Ellis,Sporting Kansas City,23,5' 9'',160,USA,Active
19,F,Charles Eloundou,Colorado Rapids,20,5' 7'',155,Cameroon,Active
9,F,Fabián Espíndola,D.C. United,29,5' 9'',160,Argentina,Active
27,M,Roger Espinoza,Sporting Kansas City,28,5' 11'',170,Honduras,Active
3,M/F,David Estrada,D.C. United,26,5' 8'',160,Mexico,Active
NA,M,Estrela,Orlando City SC,19,5' 7'',150,Angola,Active
3,M,Brad Evans,Seattle Sounders FC,29,6' 1'',160,USA,Active
33,D,Fábinho,Philadelphia Union,29,5' 7'',149,Brazil,Active
14,F,Diego Fagundez,New England Revolution,19,5' 8'',140,Uruguay,Active
2,D,Andrew Farrell,New England Revolution,22,5' 11'',165,USA,Active
10,M,Benny Feilhaber,Sporting Kansas City,29,5' 9'',160,Brazil,Active
22,M,Leo Fernandes,Philadelphia Union,23,6' 1'',165,Active,
1,GK,Lalo Fernandez,Real Salt Lake,22,6' 3'',170,Mexico,Active
10,F,Gastón Fernández,Portland Timbers,31,5' 8'',160,Argentina,Active
NA,M,Collin Fernandez,Chicago Fire,17,5' 8'',140,Active,
NA,F,Robbie Findley,Toronto FC,29,5' 9'',165,USA,Active
13,M,Ethan Finlay,Columbus Crew SC,24,5' 9'',165,USA,Active
NA,GK,Akira Fitzgerald,New York City FC,27,5' 9'',174,Japan,Active
26,M,George Fochive,Portland Timbers,22,5' 9'',172,USA,Active
NA,GK,Josh Ford,Orlando City SC,27,6',175,USA,Active
20,D,Shaun Francis,San Jose Earthquakes,28,6',165,Jamaica,Active
14,D,Waylon Francis,Columbus Crew SC,24,5' 9'',160,Costa Rica,Active
5,D,Sean Franklin,D.C. United,29,5' 10'',160,USA,Active
24,G,Stefan Frei,Seattle Sounders FC,28,6' 3'',195,Switzerland,Active
38,M,Kianz Froese,Vancouver Whitecaps FC,18,5' 9'',170,Cuba,Active
28,D,Raymon Gaddis,Philadelphia Union,24,5' 9'',151,USA,Active
50,M,Jérémy Gagnon-Laparé,Montreal Impact,19,5' 11'',165,Canada,Active
25,M,Romain Gall,Columbus Crew SC,19,5' 9'',140,France,Active
27,M,Boniek Garcia,Houston Dynamo,30,5' 9'',150,Honduras,Active
13,F,Olmes García,Real Salt Lake,22,6',175,Colombia,Active
26,M,Danny Garcia,FC Dallas,21,5' 5'',140,USA,Active
33,D,Dan Gargan,LA Galaxy,32,5' 11'',175,USA,Active
19,M,Luis Garrido,Houston Dynamo,24,5' 7'',165,Honduras,Active
6,D,Eric Gehrig,Chicago Fire,27,6' 1'',160,USA,Active
23,M,Kevan George,Columbus Crew SC,24,6' 2'',170,Trinidad and Tobago,Active
21,M,Luis Gil,Real Salt Lake,21,5' 10'',155,USA,Active
9,F,Gilberto,Toronto FC,25,5' 10'',160,Brazil,Active
14,D,Justen Glad,Real Salt Lake,17,6',145,USA,Active
