displayName,leagueCountry,firstName,lastName,leagueShortname,fullName,leagueName,countryAbbr,shortName,id
Christian Benteke,England,Christian,Benteke,Premier League,Christian Benteke,Barclays Premier League,ENG,C. Benteke,106957
Saido Berahino,England,Saido,Berahino,Premier League,Saido Berahino,Barclays Premier League,ENG,S. Berahino,151276
Ryan Bertrand,England,Ryan,Bertrand,Premier League,Ryan Bertrand,Barclays Premier League,ENG,R. Bertrand,91489
Muhamed Besic,England,Muhamed,Besic,Premier League,Muhamed Besic,Barclays Premier League,ENG,M. Besic,151226
Christian Benteke,England,Christian,Benteke,Premier League,Christian Benteke,Barclays Premier League,ENG,C. Benteke,106957
Saido Berahino,England,Saido,Berahino,Premier League,Saido Berahino,Barclays Premier League,ENG,S. Berahino,151276
Ryan Bertrand,England,Ryan,Bertrand,Premier League,Ryan Bertrand,Barclays Premier League,ENG,R. Bertrand,91489
Muhamed Besic,England,Muhamed,Besic,Premier League,Muhamed Besic,Barclays Premier League,ENG,M. Besic,151226
Paulinho,England,Paulinho,Bezzera Maciel Júnior,Premier League,Paulinho Bezzera Maciel Júnior,Barclays Premier League,ENG,P. Bezzera Maciel Júnior,139718
Mame Biram Diouf,England,Mame,Biram Diouf,Premier League,Mame Biram Diouf,Barclays Premier League,ENG,M. Biram Diouf,143759
Tyler Blackett,England,Tyler,Blackett,Premier League,Tyler Blackett,Barclays Premier League,ENG,T. Blackett,175303
Sebastián Blanco,England,Sebastián,Blanco,Premier League,Sebastián Blanco,Barclays Premier League,ENG,S. Blanco,76914
Daley Blind,England,Daley,Blind,Premier League,Daley Blind,Barclays Premier League,ENG,D. Blind,126489
Hiram Boateng,England,Hiram,Boateng,Premier League,Hiram Boateng,Barclays Premier League,ENG,H. Boateng,181755
Yannick Bolasie,England,Yannick,Bolasie,Premier League,Yannick Bolasie,Barclays Premier League,ENG,Y. Bolasie,121921
Wilfried Bony,England,Wilfried,Bony,Premier League,Wilfried Bony,Barclays Premier League,ENG,W. Bony,153824
Fabio Borini,England,Fabio,Borini,Premier League,Fabio Borini,Barclays Premier League,ENG,F. Borini,140931
Dedryck Boyata,England,Dedryck,Boyata,Premier League,Dedryck Boyata,Barclays Premier League,ENG,D. Boyata,143592
George Boyd,England,George,Boyd,Premier League,George Boyd,Barclays Premier League,ENG,G. Boyd,26378
Robert Brady,England,Robert,Brady,Premier League,Robert Brady,Barclays Premier League,ENG,R. Brady,153310
Liam Bridcutt,England,Liam,Bridcutt,Premier League,Liam Bridcutt,Barclays Premier League,ENG,L. Bridcutt,115967
Leon Britton,England,Leon,Britton,Premier League,Leon Britton,Barclays Premier League,ENG,L. Britton,7957
Brown Ideye,England,Ideye,Brown,Premier League,Ideye Aide Brown,Barclays Premier League,ENG,I. Brown,144527
Wes Brown,England,Wes,Brown,Premier League,Wes Brown,Barclays Premier League,ENG,W. Brown,8866
Tyias Browning,England,Tyias,Browning,Premier League,Tyias Browning,Barclays Premier League,ENG,T. Browning,181393
Alex Bruce,England,Alex,Bruce,Premier League,Alex Bruce,Barclays Premier League,ENG,A. Bruce,43942
Chris Brunt,England,Chris,Brunt,Premier League,Chris Brunt,Barclays Premier League,ENG,C. Brunt,41967
William Buckley,England,William,Buckley,Premier League,William Buckley,Barclays Premier League,ENG,W. Buckley,116070
Reece Burke,England,Reece,Burke,Premier League,Reece Burke,Barclays Premier League,ENG,R. Burke,197924
Jack Butland,England,Jack,Butland,Premier League,Jack Butland,Barclays Premier League,ENG,J. Butland,157933
Wilfredo Caballero,England,Wilfredo,Caballero,Premier League,Wilfredo Caballero,Barclays Premier League,ENG,W. Caballero,34949
Rémy Cabella,England,Rémy,Cabella,Premier League,Rémy Cabella,Barclays Premier League,ENG,R. Cabella,136688
Gary Cahill,England,Gary,Cahill,Premier League,Gary Cahill,Barclays Premier League,ENG,G. Cahill,40509
Esteban Cambiasso,England,Esteban,Cambiasso,Premier League,Esteban Matias Cambiasso,Barclays Premier League,ENG,E. Cambiasso,19084
Geoff Cameron,England,Geoff,Cameron,Premier League,Geoff Cameron,Barclays Premier League,ENG,G. Cameron,118125
Fraizer Campbell,England,Fraizer,Campbell,Premier League,Fraizer Campbell,Barclays Premier League,ENG,F. Campbell,42248
Joel Campbell,England,Joel,Campbell,Premier League,Joel Campbell,Barclays Premier League,ENG,J. Campbell,166669
Emre Can,England,Emre,Can,Premier League,Emre Can,Barclays Premier League,ENG,E. Can,159142
Etienne Capoue,England,Etienne,Capoue,Premier League,Etienne Capoue,Barclays Premier League,ENG,E. Capoue,84892
Michael Carrick,England,Michael,Carrick,Premier League,Michael Carrick,Barclays Premier League,ENG,M. Carrick,7971
Andrew Carroll,England,Andy,Carroll,Premier League,Andy Carroll,Barclays Premier League,ENG,A. Carroll,91478
Thomas Carroll,England,Thomas,Carroll,Premier League,Thomas Carroll,Barclays Premier League,ENG,T. Carroll,155736
Lee Cattermole,England,Lee,Cattermole,Premier League,Lee Cattermole,Barclays Premier League,ENG,L. Cattermole,72918
Steven Caulker,England,Steven,Caulker,Premier League,Steven Caulker,Barclays Premier League,ENG,S. Caulker,132436
Santi Cazorla,England,Santi,Cazorla,Premier League,Santi Gonzalez Cazorla,Barclays Premier League,ENG,S. Cazorla,40202
Cristian Ceballos,England,Cristian,Ceballos,Premier League,Cristian Ceballos,Barclays Premier League,ENG,C. Ceballos,167123
Petr Cech,England,Petr,Cech,Premier League,Petr Cech,Barclays Premier League,ENG,P. Cech,13069
Nacer Chadli,England,Nacer,Chadli,Premier League,Nacer Chadli,Barclays Premier League,ENG,N. Chadli,122633
Nathaniel Chalobah,England,Nathaniel,Chalobah,Premier League,Nathaniel Chalobah,Barclays Premier League,ENG,N. Chalobah,149755
Marouane Chamakh,England,Marouane,Chamakh,Premier League,Marouane Chamakh,Barclays Premier League,ENG,M. Chamakh,84609
Calum Chambers,England,Calum,Chambers,Premier League,Calum Chambers,Barclays Premier League,ENG,C. Chambers,176266
James Chester,England,James,Chester,Premier League,James Chester,Barclays Premier League,ENG,J. Chester,108328
Vlad Chiriches,England,Vlad,Chiriches,Premier League,Vlad Chiriches,Barclays Premier League,ENG,V. Chiriches,164764
Papiss Demba Cisse,England,Papiss Demba,Cisse,Premier League,Papiss Demba Cisse,Barclays Premier League,ENG,P. Cisse,101423
Gaël Clichy,England,Gaël,Clichy,Premier League,Gaël Clichy,Barclays Premier League,ENG,G. Clichy,35099
Nathaniel Clyne,England,Nathaniel,Clyne,Premier League,Nathaniel Clyne,Barclays Premier League,ENG,N. Clyne,127865
Sebastián Coates,England,Sebastián,Coates,Premier League,Sebastián Coates,Barclays Premier League,ENG,S. Coates,145450
Jack Colback,England,Jack,Colback,Premier League,Jack Colback,Barclays Premier League,ENG,J. Colback,123697
Carlton Cole,England,Carlton,Cole,Premier League,Carlton Cole,Barclays Premier League,ENG,C. Cole,20544
Joe Cole,England,Joe,Cole,Premier League,Joe Cole,Barclays Premier League,ENG,J. Cole,7976
Seamus Coleman,England,Seamus,Coleman,Premier League,Seamus Coleman,Barclays Premier League,ENG,S. Coleman,131639
James Collins,England,James,Collins,Premier League,James Collins,Barclays Premier League,ENG,J. Collins,5527
