displayName,leagueCountry,firstName,lastName,leagueShortname,fullName,leagueName,countryAbbr,shortName,id
Fabricio Coloccini,England,Fabricio,Coloccini,Premier League,Fabricio Coloccini,Barclays Premier League,ENG,F. Coloccini,12265
Francis Coquelin,England,Francis,Coquelin,Premier League,Francis Coquelin,Barclays Premier League,ENG,F. Coquelin,121406
Jack  Cork,England,Jack,Cork,Premier League,Jack  Cork,Barclays Premier League,ENG,J. Cork,91481
Thibaut Courtois,England,Thibaut,Courtois,Premier League,Thibaut Courtois,Barclays Premier League,ENG,T. Courtois,134283
Philippe Coutinho,England,Philippe,Coutinho,Premier League,Philippe Coutinho,Barclays Premier League,ENG,P. Coutinho,130372
Aaron Cresswell,England,Aaron,Cresswell,Premier League,Aaron Cresswell,Barclays Premier League,ENG,A. Cresswell,121473
Peter Crouch,England,Peter,Crouch,Premier League,Peter Crouch,Barclays Premier League,ENG,P. Crouch,5388
Rafael,England,Rafael,Da Silva,Premier League,Rafael Da Silva,Barclays Premier League,ENG,R. Da Silva,25409
Willian,England,Willian,Da Silva,Premier League,Willian Borges Da Silva,Barclays Premier League,ENG,W. Da Silva,178487
Diego Costa,England,Diego,da Silva Costa,Premier League,Diego da Silva Costa,Barclays Premier League,ENG,D. da Silva Costa,95410
Donervon Daniels,England,Donervon,Daniels,Premier League,Donervon Daniels,Barclays Premier League,ENG,D. Daniels,186039
Luke Daniels,England,Luke,Daniels,Premier League,Luke Daniels,Barclays Premier League,ENG,L. Daniels,82889
Scott Dann,England,Scott,Dann,Premier League,Scott Dann,Barclays Premier League,ENG,S. Dann,43493
Jason Davidson,England,Jason,Davidson,Premier League,Jason Davidson,Barclays Premier League,ENG,J. Davidson,143791
Ben Davies,England,Ben,Davies,Premier League,Ben Davies,Barclays Premier League,ENG,B. Davies,6327
Curtis Davies,England,Curtis,Davies,Premier League,Curtis Davies,Barclays Premier League,ENG,C. Davies,39488
Kelvin Davis,England,Kelvin,Davis,Premier League,Kelvin Davis,Barclays Premier League,ENG,K. Davis,5278
Steven Davis,England,Steven,Davis,Premier League,Steven Davis,Barclays Premier League,ENG,S. Davis,161788
Craig Dawson,England,Craig,Dawson,Premier League,Craig Dawson,Barclays Premier League,ENG,C. Dawson,133938
Michael Dawson,England,Michael,Dawson,Premier League,Michael Dawson,Barclays Premier League,ENG,M. Dawson,19812
David De Gea,England,David,De Gea,Premier League,David Quintana De Gea,Barclays Premier League,ENG,D. De Gea,108482
Siem De Jong,England,Siem,De Jong,Premier League,Siem De Jong,Barclays Premier League,ENG,S. De Jong,110066
Ritchie De Laet,England,Ritchie,De Laet,Premier League,Ritchie De Laet,Barclays Premier League,ENG,R. De Laet,107452
Mathieu Debuchy,England,Mathieu,Debuchy,Premier League,Mathieu Debuchy,Barclays Premier League,ENG,M. Debuchy,69458
Damien Delaney,England,Damien,Delaney,Premier League,Damien Delaney,Barclays Premier League,ENG,D. Delaney,7875
Fabian Delph,England,Fabian,Delph,Premier League,Fabian Delph,Barclays Premier League,ENG,F. Delph,98926
Mousa Dembélé,England,Mousa,Dembélé,Premier League,Mousa Dembélé,Barclays Premier League,ENG,M. Dembélé,67490
Guy Demel,England,Guy,Demel,Premier League,Guy Demel,Barclays Premier League,ENG,G. Demel,84798
Martín Demichelis,England,Martín,Demichelis,Premier League,Martín Demichelis,Barclays Premier League,ENG,M. Demichelis,33885
Ángel Di María,England,Ángel,Di María,Premier League,Ángel Di María,Barclays Premier League,ENG,Á. Di María,108223
Mohamed Diame,England,Mohamed,Diame,Premier League,Mohamed Diame,Barclays Premier League,ENG,M. Diame,86233
Eric Dier,England,Eric,Dier,Premier League,Eric Dier,Barclays Premier League,ENG,E. Dier,155532
Sylvain Distin,England,Sylvain,Distin,Premier League,Sylvain Distin,Barclays Premier League,ENG,S. Distin,10438
Graham Dorrans,England,Graham,Dorrans,Premier League,Graham Dorrans,Barclays Premier League,ENG,G. Dorrans,61892
Oscar,England,Oscar,dos Santos Emboaba Júnior,Premier League,Oscar dos Santos Emboaba Júnior,Barclays Premier League,ENG,O. dos Santos Emboaba Júnior,173667
Stewart Downing,England,Stewart,Downing,Premier League,Stewart Downing,Barclays Premier League,ENG,S. Downing,21187
Kevin Doyle,England,Kevin,Doyle,Premier League,Kevin Doyle,Barclays Premier League,ENG,K. Doyle,33534
Daniel Drinkwater,England,Daniel,Drinkwater,Premier League,Daniel Drinkwater,Barclays Premier League,ENG,D. Drinkwater,135376
Didier Drogba,England,Didier,Drogba,Premier League,Didier Drogba,Barclays Premier League,ENG,D. Drogba,18727
Mike Duff,England,Mike,Duff,Premier League,Mike Duff,Barclays Premier League,ENG,M. Duff,182403
Paul Dummett,England,Paul,Dummett,Premier League,Paul Dummett,Barclays Premier League,ENG,P. Dummett,167118
Cameron Dummigan,England,Cameron,Dummigan,Premier League,Cameron Dummigan,Barclays Premier League,ENG,C. Dummigan,196795
Mike Duff,England,Mike,Duff,Premier League,Mike Duff,Barclays Premier League,ENG,M. Duff,182403
Paul Dummett,England,Paul,Dummett,Premier League,Paul Dummett,Barclays Premier League,ENG,P. Dummett,167118
Cameron Dummigan,England,Cameron,Dummigan,Premier League,Cameron Dummigan,Barclays Premier League,ENG,C. Dummigan,196795
Richard Dunne,England,Richard,Dunne,Premier League,Richard Dunne,Barclays Premier League,ENG,R. Dunne,8210
Nathan Dyer,England,Nathan,Dyer,Premier League,Nathan Dyer,Barclays Premier League,ENG,N. Dyer,67796
Edin Dzeko,England,Edin,Dzeko,Premier League,Edin Dzeko,Barclays Premier League,ENG,E. Dzeko,102337
Karim El Ahmadi,England,Karim,El Ahmadi,Premier League,Karim El Ahmadi,Barclays Premier League,ENG,K. El Ahmadi,42176
Robert Elliot,England,Robert,Elliot,Premier League,Robert Elliot,Barclays Premier League,ENG,R. Elliot,47039
Ahmed Elmohamady,England,Ahmed,Elmohamady,Premier League,Ahmed Elmohamady,Barclays Premier League,ENG,A. Elmohamady,145468
Marvin Emnes,England,Marvin,Emnes,Premier League,Marvin Emnes,Barclays Premier League,ENG,M. Emnes,73201
Christian Eriksen,England,Christian,Eriksen,Premier League,Christian Eriksen,Barclays Premier League,ENG,C. Eriksen,144130
Jose Angel Esmoris Tasende,England,Jose Angel,Esmoris Tasende,Premier League,Jose Angel Esmoris Tasende,Barclays Premier League,ENG,J. Esmoris Tasende,214319
Samuel Eto'o,England,Samuel,Eto'o,Premier League,Samuel Eto'o,Barclays Premier League,ENG,S. Eto'o,11718
Jonathan Evans,England,Jonny,Evans,Premier League,Jonathan Evans,Barclays Premier League,ENG,J. Evans,83176
Lukasz Fabianski,England,Lukasz,Fabianski,Premier League,Lukasz Fabianski,Barclays Premier League,ENG,L. Fabianski,77403
Radamel Falcao,England,Radamel,Falcao Garcia,Premier League,Radamel Zarate Falcao Garcia,Barclays Premier League,ENG,R. Falcao Garcia,87706
Alejandro Damian Faurlin,England,Alejandro Damian,Faurlin,Premier League,Alejandro Damian Faurlin,Barclays Premier League,ENG,A. Faurlin,87709
Federico Fazio,England,Federico,Fazio,Premier League,Federico Fazio,Barclays Premier League,ENG,F. Fazio,97425
Marouane Fellaini,England,Marouane,Fellaini,Premier League,Marouane Fellaini,Barclays Premier League,ENG,M. Fellaini,84535
Leroy Fer,England,Leroy,Fer,Premier League,Leroy Fer,Barclays Premier League,ENG,L. Fer,113083
Rio Ferdinand,England,Rio,Ferdinand,Premier League,Rio Ferdinand,Barclays Premier League,ENG,R. Ferdinand,7825
Suso,England,Jesus,Fernandez Saez,Premier League,Jesus Fernandez Saez,Barclays Premier League,ENG,J. Fernandez Saez,164800
Federico Fernández,England,Federico,Fernández,Premier League,Federico Fernández,Barclays Premier League,ENG,F. Fernández,118287
Facundo Ferreyra,England,Facundo,Ferreyra,Premier League,Facundo Ferreyra,Barclays Premier League,ENG,F. Ferreyra,51848
Maynor Figueroa,England,Maynor,Figueroa,Premier League,Maynor Figueroa,Barclays Premier League,ENG,M. Figueroa,93156
Mathieu Flamini,England,Mathieu,Flamini,Premier League,Mathieu Flamini,Barclays Premier League,ENG,M. Flamini,40501
Darren Fletcher,England,Darren,Fletcher,Premier League,Darren Fletcher,Barclays Premier League,ENG,D. Fletcher,8871
Steven Fletcher,England,Steven,Fletcher,Premier League,Steven Fletcher,Barclays Premier League,ENG,S. Fletcher,42189
Jose Fonte,England,Jose,Fonte,Premier League,Jose Fonte,Barclays Premier League,ENG,J. Fonte,104172
Fraser Forster,England,Fraser,Forster,Premier League,Fraser Forster,Barclays Premier League,ENG,F. Forster,93193
Ben Foster,England,Ben,Foster,Premier League,Ben Foster,Barclays Premier League,ENG,B. Foster,22777
Brad Friedel,England,Brad,Friedel,Premier League,Brad Friedel,Barclays Premier League,ENG,B. Friedel,7777
Ezekiel Fryers,England,Ezekiel,Fryers,Premier League,Ezekiel Fryers,Barclays Premier League,ENG,E. Fryers,167113
Jay Fulton,England,Jay,Fulton,Premier League,Jay Fulton,Barclays Premier League,ENG,J. Fulton,150603
Cesc Fàbregas,England,Cesc,Fàbregas,Premier League,Cesc Fàbregas,Barclays Premier League,ENG,C. Fàbregas,38886
Cristian Gamboa,England,Cristian,Gamboa,Premier League,Cristian Gamboa,Barclays Premier League,ENG,C. Gamboa,141429
Luke Garbutt,England,Luke,Garbutt,Premier League,Luke Garbutt,Barclays Premier League,ENG,L. Garbutt,143535
Craig Gardner,England,Craig,Gardner,Premier League,Craig Gardner,Barclays Premier League,ENG,C. Gardner,73339
Florin Gardos,England,Florin,Gardos,Premier League,Florin Gardos,Barclays Premier League,ENG,F. Gardos,152426
Dwight Gayle,England,Dwight,Gayle,Premier League,Dwight Gayle,Barclays Premier League,ENG,D. Gayle,168992
Steven Gerrard,England,Steven,Gerrard,Premier League,Steven Gerrard,Barclays Premier League,ENG,S. Gerrard,7935
Emanuele Giaccherini,England,Emanuele,Giaccherini,Premier League,Emanuele Giaccherini,Barclays Premier League,ENG,E. Giaccherini,134438
Kieran Gibbs,England,Kieran,Gibbs,Premier League,Kieran Gibbs,Barclays Premier League,ENG,K. Gibbs,99500
Darron Gibson,England,Darron,Gibson,Premier League,Darron Gibson,Barclays Premier League,ENG,D. Gibson,71653
Matthew Gilks,England,Matthew,Gilks,Premier League,Matthew Gilks,Barclays Premier League,ENG,M. Gilks,6516
Olivier Giroud,England,Olivier,Giroud,Premier League,Olivier Giroud,Barclays Premier League,ENG,O. Giroud,88965
Shay Given,England,Shay,Given,Premier League,Shay Given,Barclays Premier League,ENG,S. Given,8944
Bafetimbi Gomis,England,Bafetimbi,Gomis,Premier League,Bafetimbi Gomis,Barclays Premier League,ENG,B. Gomis,84940
Varela,England,Varela,Gonçalves Varela,Premier League,Varela Manuel Goncalves Gonçalves Varela,Barclays Premier League,ENG,V. Gonçalves Varela,103023
Yoan Gouffran,England,Yoan,Gouffran,Premier League,Yoan Gouffran,Barclays Premier League,ENG,Y. Gouffran,101379
Danny Graham,England,Danny,Graham,Premier League,Danny Graham,Barclays Premier League,ENG,D. Graham,159274
Jack Grealish,England,Jack,Grealish,Premier League,Jack Grealish,Barclays Premier League,ENG,J. Grealish,172850
Robert Green,England,Robert,Green,Premier League,Robert Green,Barclays Premier League,ENG,R. Green,5112
Adlene Guedioura,England,Adlene,Guedioura,Premier League,Adlène Guédioura,Barclays Premier League,ENG,A. Guedioura,144515
Sandro,England,Sandro,Guimarães Cordeiro,Premier League,Sandro Ranieri Guimarães Cordeiro,Barclays Premier League,ENG,S. Guimarães Cordeiro,147337
Brad Guzan,England,Brad,Guzan,Premier League,Brad Guzan,Barclays Premier League,ENG,B. Guzan,56935
Jordi Gómez,England,Jordi,Gómez García-Penche,Premier League,Jordi Gómez García-Penche,Barclays Premier League,ENG,J. Gómez García-Penche,117833
Massadio Haidara,England,Massadio,Haidara,Premier League,Massadio Haidara,Barclays Premier League,ENG,M. Haidara,154532
Ben Hamer,England,Ben,Hamer,Premier League,Ben Hamer,Barclays Premier League,ENG,B. Hamer,83011
Dean Hammond,England,Dean,Hammond,Premier League,Dean Hammond,Barclays Premier League,ENG,D. Hammond,5496
Brede Hangeland,England,Brede,Hangeland,Premier League,Brede Hangeland,Barclays Premier League,ENG,B. Hangeland,13269
Steve Harper,England,Steve,Harper,Premier League,Steve Harper,Barclays Premier League,ENG,S. Harper,8948
Joe Hart,England,Joe,Hart,Premier League,Joe Hart,Barclays Premier League,ENG,J. Hart,30462
Eden Hazard,England,Eden,Hazard,Premier League,Eden Hazard,Barclays Premier League,ENG,E. Hazard,101390
Tom Heaton,England,Tom,Heaton,Premier League,Tom Heaton,Barclays Premier League,ENG,T. Heaton,42250
Jordan Henderson,England,Jordan,Henderson,Premier League,Jordan Henderson,Barclays Premier League,ENG,J. Henderson,127262
Wayne Hennessey,England,Wayne,Hennessey,Premier League,Wayne Hennessey,Barclays Premier League,ENG,W. Hennessey,83526
Karl Henry,England,Karl,Henry,Premier League,Karl Henry,Barclays Premier League,ENG,K. Henry,5814
Chris Herd,England,Chris,Herd,Premier League,Chris Herd,Barclays Premier League,ENG,C. Herd,113837
Abel Hernández,England,Abel,Hernández,Premier League,Abel Hernández,Barclays Premier League,ENG,A. Hernández,131430
Javier Hernández,England,Javier,Hernández,Premier League,Javier Hernández,Barclays Premier League,ENG,J. Hernández,146419
Ander Herrera,England,Ander,Herrera Aguera,Premier League,Ander Herrera Aguera,Barclays Premier League,ENG,A. Herrera Aguera,131481
Steven Hewitt,England,Steven,Hewitt,Premier League,Steven Hewitt,Barclays Premier League,ENG,S. Hewitt,165536
Tony Hibbert,England,Tony,Hibbert,Premier League,Tony Hibbert,Barclays Premier League,ENG,T. Hibbert,7732
Clint Hill,England,Clint,Hill,Premier League,Clint Hill,Barclays Premier League,ENG,C. Hill,5906
David Hoilett,England,David,Hoilett,Premier League,David Hoilett,Barclays Premier League,ENG,D. Hoilett,116662
Lewis Holtby,England,Lewis,Holtby,Premier League,Lewis Holtby,Barclays Premier League,ENG,L. Holtby,122289
Jos Hooiveld,England,Jos,Hooiveld,Premier League,Jos Hooiveld,Barclays Premier League,ENG,J. Hooiveld,31806
Tom Hopper,England,Tom,Hopper,Premier League,Tom Hopper,Barclays Premier League,ENG,T. Hopper,170551
Tim Howard,England,Tim,Howard,Premier League,Tim Howard,Barclays Premier League,ENG,T. Howard,34158
Tom Huddlestone,England,Tom,Huddlestone,Premier League,Tom Huddlestone,Barclays Premier League,ENG,T. Huddlestone,26412
Robert Huth,England,Robert,Huth,Premier League,Robert Huth,Barclays Premier League,ENG,R. Huth,18891
Alan Hutton,England,Alan,Hutton,Premier League,Alan Hutton,Barclays Premier League,ENG,A. Hutton,27736
Jordan Ibe,England,Jordan,Ibe,Premier League,Jordan Ibe,Barclays Premier League,ENG,J. Ibe,164646
Thomas Ince,England,Thomas,Ince,Premier League,Thomas Ince,Barclays Premier League,ENG,T. Ince,150012
Danny Ings,England,Danny,Ings,Premier League,Danny Ings,Barclays Premier League,ENG,D. Ings,141706
Stephen Ireland,England,Stephen,Ireland,Premier League,Stephen Ireland,Barclays Premier League,ENG,S. Ireland,46525
Lloyd Isgrove,England,Lloyd,Isgrove,Premier League,Lloyd Isgrove,Barclays Premier League,ENG,L. Isgrove,180167
Mauricio Isla,England,Mauricio,Isla,Premier League,Mauricio Isla,Barclays Premier League,ENG,M. Isla,113574
Branislav Ivanovic,England,Branislav,Ivanovic,Premier League,Branislav Ivanovic,Barclays Premier League,ENG,B. Ivanovic,83519
Jussi Jaaskelainen,England,Jussi,Jaaskelainen,Premier League,Jussi Jaaskelainen,Barclays Premier League,ENG,J. Jaaskelainen,7908
Phil Jagielka,England,Phil,Jagielka,Premier League,Phil Jagielka,Barclays Premier League,ENG,P. Jagielka,4745
Eldin Jakupovic,England,Eldin,Jakupovic,Premier League,Eldin Jakupovic,Barclays Premier League,ENG,E. Jakupovic,69318
Matthew James,England,Matthew,James,Premier League,Matthew James,Barclays Premier League,ENG,M. James,135430
Reece James,England,Reece,James,Premier League,Reece James,Barclays Premier League,ENG,R. James,189007
Daryl Janmaat,England,Daryl,Janmaat,Premier League,Daryl Janmaat,Barclays Premier League,ENG,D. Janmaat,125285
Adnan Januzaj,England,Adnan,Januzaj,Premier League,Adnan Januzaj,Barclays Premier League,ENG,A. Januzaj,186432
Matthew Jarvis,England,Matthew,Jarvis,Premier League,Matthew Jarvis,Barclays Premier League,ENG,M. Jarvis,39484
Mile Jedinak,England,Mile,Jedinak,Premier League,Mile Jedinak,Barclays Premier League,ENG,M. Jedinak,85979
Nikica Jelavic,England,Nikica,Jelavic,Premier League,Nikica Jelavic,Barclays Premier League,ENG,N. Jelavic,39511
Carl Jenkinson,England,Carl,Jenkinson,Premier League,Carl Jenkinson,Barclays Premier League,ENG,C. Jenkinson,150844
Adam Johnson,England,Adam,Johnson,Premier League,Adam Johnson,Barclays Premier League,ENG,A. Johnson,55814
Andrew Johnson,England,Andrew,Johnson,Premier League,Andrew Johnson,Barclays Premier League,ENG,A. Johnson,5317
Glen Johnson,England,Glen,Johnson,Premier League,Glen Johnson,Barclays Premier League,ENG,G. Johnson,23650
Billy Jones,England,Billy,Jones,Premier League,Billy Jones,Barclays Premier League,ENG,B. Jones,38871
Brad Jones,England,Brad,Jones,Premier League,Brad Jones,Barclays Premier League,ENG,B. Jones,46050
David Jones,England,David,Jones,Premier League,David Frank Llwyd Jones,Barclays Premier League,ENG,D. Jones,86616
Phil Jones,England,Phil,Jones,Premier League,Phil Jones,Barclays Premier League,ENG,P. Jones,140032
Stevan Jovetic,England,Stevan,Jovetic,Premier League,Stevan Jovetic,Barclays Premier League,ENG,S. Jovetic,119612
Lucas Jutkiewicz,England,Lucas,Jutkiewicz,Premier League,Lucas Jutkiewicz,Barclays Premier League,ENG,L. Jutkiewicz,184797
Younes Kaboul,England,Younes,Kaboul,Premier League,Younes Kaboul,Barclays Premier League,ENG,Y. Kaboul,42191
Shinji Kagawa,England,Shinji,Kagawa,Premier League,Shinji Kagawa,Barclays Premier League,ENG,S. Kagawa,102139
Harry Kane,England,Harry,Kane,Premier League,Harry Kane,Barclays Premier League,ENG,H. Kane,142200
Filipe Luis,England,Filipe,Kasmirski,Premier League,Filipe Luis Kasmirski,Barclays Premier League,ENG,F. Kasmirski,52994
Michael Keane,England,Michael,Keane,Premier League,Michael Keane,Barclays Premier League,ENG,M. Keane,4946
William Keane,England,William,Keane,Premier League,William Keane,Barclays Premier League,ENG,W. Keane,153743
Martin Kelly,England,Martin,Kelly,Premier League,Martin Kelly,Barclays Premier League,ENG,M. Kelly,123515
Michael Kightly,England,Michael,Kightly,Premier League,Michael Kightly,Barclays Premier League,ENG,M. Kightly,27834
Andy King,England,Andy,King,Premier League,Andy King,Barclays Premier League,ENG,A. King,111350
Aleksandar Kolarov,England,Aleksandar,Kolarov,Premier League,Aleksandar Kolarov,Barclays Premier League,ENG,A. Kolarov,103939
Vincent Kompany,England,Vincent,Kompany,Premier League,Vincent Kompany,Barclays Premier League,ENG,V. Kompany,72935
Paul Konchesky,England,Paul,Konchesky,Premier League,Paul Konchesky,Barclays Premier League,ENG,P. Konchesky,7686
Anthony Konckaert,England,Anthony,Konckaert,Premier League,Anthony Konckaert,Barclays Premier League,ENG,A. Konckaert,164367
Laurent Koscielny,England,Laurent,Koscielny,Premier League,Laurent Koscielny,Barclays Premier League,ENG,L. Koscielny,88970
Cheikhou Kouyaté,England,Cheikhou,Kouyaté,Premier League,Cheikhou Kouyaté,Barclays Premier League,ENG,C. Kouyaté,154027
Niko Kranjcar,England,Niko,Kranjcar,Premier League,Niko Kranjcar,Barclays Premier League,ENG,N. Kranjcar,26740
Bojan Krkic,England,Bojan,Krkic,Premier League,Bojan Krkic,Barclays Premier League,ENG,B. Krkic,92802
Tim Krul,England,Tim,Krul,Premier League,Tim Krul,Barclays Premier League,ENG,T. Krul,85285
Daniel Lafferty,England,Daniel,Lafferty,Premier League,Daniel Lafferty,Barclays Premier League,ENG,D. Lafferty,144471
Adam Lallana,England,Adam,Lallana,Premier League,Adam Lallana,Barclays Premier League,ENG,A. Lallana,85472
Rickie Lambert,England,Rickie,Lambert,Premier League,Rickie Lambert,Barclays Premier League,ENG,R. Lambert,174560
Erik Lamela,England,Erik,Lamela,Premier League,Erik Lamela,Barclays Premier League,ENG,E. Lamela,130870
Frank Lampard,England,Frank,Lampard,Premier League,Frank Lampard,Barclays Premier League,ENG,F. Lampard,8941
Sebastian Larsson,England,Sebastian,Larsson,Premier League,Sebastian Larsson,Barclays Premier League,ENG,S. Larsson,42772
Joe Ledley,England,Joe,Ledley,Premier League,Joe Ledley,Barclays Premier League,ENG,J. Ledley,45409
